ranking,score,movie_name,movie_englishname,score_num,
1,9.6,肖申克的救赎,The Shawshank Redemption,1008528,get
2,9.5,霸王别姬,再见，我的妾  Farewell My Concubine,733248,get
3,9.4,这个杀手不太冷,Léon,947604,get
4,9.4,阿甘正传,Forrest Gump,805947,get
5,9.5,美丽人生,La vita è bella,470685,get
7,9.2,泰坦尼克号,Titanic,745602,get
8,9.4,辛德勒的名单,Schindler's List,428685,get
9,9.3,盗梦空间,Inception,846089,get
11,9.2,海上钢琴师,La leggenda del pianista sull'oceano,652774,get
12,9.2,三傻大闹宝莱坞,3 Idiots,759942,get
14,9.2,放牛班的春天,Les choristes,507951,get
15,9.2,大话西游之大圣娶亲,西[大Y局之仙履奇,555196,get
16,9.1,楚门的世界,The Truman Show,526091,get
17,9.2,教父,The Godfather,381681,get
20,9.2,乱世佳人,Gone with the Wind,297080,get
21,9.2,星际穿越,Interstellar,554089,get
24,8.9,当幸福来敲门,The Pursuit of Happyness,600884,get
26,8.9,怦然心动,Flipped,626543,get
28,9,搏击俱乐部,Fight Club,431827,get
29,9,少年派的奇幻漂流,Life of Pi,635608,get
31,9,蝙蝠侠：黑暗骑士,The Dark Knight,363542,get
32,9.1,指环王3：王者无敌,The Lord of the Rings: The Return of the King,312406,get
33,9.1,活着,人生  Lifetimes,302967,get
36,8.9,大话西游之月光宝盒,西[第壹佰零壹回之月光盒,446848,get
37,9.2,疯狂动物城,Zootopia,577808,get
38,8.9,飞屋环游记,Up,550048,get
40,9.1,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",294725,get
41,9,飞越疯人院,One Flew Over the Cuckoo's Nest,298950,get
43,8.9,闻香识女人,Scent of a Woman,355238,get
46,8.8,V字仇杀队,V for Vendetta,460286,get
48,9,死亡诗社,Dead Poets Society,306198,get
49,9.1,教父2,The Godfather: Part Ⅱ,205663,get
50,8.9,美丽心灵,A Beautiful Mind,331313,get
51,9,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,293882,get
52,8.9,指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,328869,get
55,9.1,美国往事,Once Upon a Time in America,190058,get
56,9.1,摔跤吧！爸爸,Dangal,509736,get
57,8.9,狮子王,The Lion King,306780,get
58,9,钢琴家,The Pianist,218736,get
59,8.7,天使爱美丽,Le fabuleux destin d'Amélie Poulain,516858,get
64,8.8,致命魔术,The Prestige,372934,get
65,8.9,音乐之声,The Sound of Music,249544,get
66,8.8,勇敢的心,Braveheart,313386,get
68,8.8,本杰明・巴顿奇事,The Curious Case of Benjamin Button,422610,get
69,8.8,看不见的客人,Contratiempo,370572,get
70,8.8,低俗小说,Pulp Fiction,361841,get
72,8.9,拯救大兵瑞恩,Saving Private Ryan,259879,get
73,8.8,黑客帝国,The Matrix,304311,get
76,8.7,蝴蝶效应,The Butterfly Effect,410991,get
77,8.7,让子弹飞,让子弹飞一会儿  火烧云,671505,get
81,8.8,心灵捕手,Good Will Hunting,292839,get
89,8.8,布达佩斯大饭店,The Grand Budapest Hotel,340366,get
91,8.7,哈利・波特与魔法石,Harry Potter and the Sorcerer's Stone,281334,get
93,8.6,致命ID,Identity,341438,get
95,8.6,断背山,Brokeback Mountain,341849,get
99,8.7,猫鼠游戏,Catch Me If You Can,248105,get
100,8.6,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,369874,get
103,8.9,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,160082,get
106,8.7,消失的爱人,Gone Girl,381614,get
115,8.7,驯龙高手,How to Train Your Dragon,302540,get
120,8.5,喜剧之王,喜≈王,337535,get
122,8.5,神偷奶爸,Despicable Me,401696,get
126,8.5,真爱至上,Love Actually,330278,get
128,8.5,贫民窟的百万富翁,Slumdog Millionaire,412801,get
129,8.7,谍影重重3,The Bourne Ultimatum,189910,get
131,8.6,雨人,Rain Man,219185,get
132,8.5,记忆碎片,Memento,293559,get
134,8.6,怪兽电力公司,"Monsters, Inc.",255486,get
135,8.7,疯狂原始人,The Croods,388640,get
136,8.5,黑天鹅,Black Swan,437344,get
139,8.8,卢旺达饭店,Hotel Rwanda,126126,get
141,8.5,恋恋笔记本,The Notebook,298035,get
142,8.4,傲慢与偏见,Pride & Prejudice,318450,get
144,8.6,海边的曼彻斯特,Manchester by the Sea,205189,get
145,8.7,哈利・波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,287761,get
148,8.8,魂断蓝桥,Waterloo Bridge,134707,get
149,8.8,教父3,The Godfather: Part III,137543,get
151,9,完美的世界,A Perfect World,85340,get
155,8.8,玩具总动员3,Toy Story 3,200358,get
159,8.4,唐伯虎点秋香,唐伯虎c秋香,347772,get
163,8.6,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,307489,get
164,8.6,人工智能,Artificial Intelligence: AI,197856,get
166,8.4,冰川时代,Ice Age,283535,get
169,8.5,朗读者,The Reader,287056,get
173,8.6,爆裂鼓手,Whiplash,249024,get
174,8.6,撞车,Crash,180039,get
179,8.3,恐怖游轮,Triangle,340194,get
180,8.8,请以你的名字呼唤我,Call Me by Your Name,166076,get
182,8.7,达拉斯买家俱乐部,Dallas Buyers Club,175426,get
183,8.7,血战钢锯岭,Hacksaw Ridge,330686,get
184,8.6,被解救的姜戈,Django Unchained,269064,get
187,8.5,谍影重重,The Bourne Identity,198952,get
188,8.5,谍影重重2,The Bourne Supremacy,165225,get
193,8.7,头脑特工队,Inside Out,237709,get
195,8.8,房间,Room,162353,get
204,8.3,源代码,Source Code,421258,get
206,8.5,模仿游戏,The Imitation Game,264815,get
209,8.5,黑客帝国3：矩阵革命,The Matrix Revolutions,161403,get
210,8.6,卡萨布兰卡,Casablanca,128465,get
212,8.4,变脸,Facff,220405,get
223,8.4,英国病人,The English Patient,177724,get
229,8.3,穆赫兰道,Mulholland Dr.,241240,get
231,8.6,小萝莉的猴神大叔,Bajrangi Bhaijaan,135062,get
232,8.3,疯狂的石头,Crazy Stone,325077,get
234,8.3,国王的演讲,The King's Speech,349698,get
236,8.5,血钻,Blood Diamond,136463,get
238,8.4,彗星来的那一夜,Coherence,184310,get
244,8.7,千钧一发,Gattaca,88545,get
247,8.5,黑鹰坠落,Black Hawk Down,117942,get
6,9.2,千与千寻,千と千い紊耠Lし,754286,
10,9.3,机器人总动员,WALL・E,554865,
13,9.2,忠犬八公的故事,Hachi: A Dog's Tale,523398,
18,9.1,龙猫,となりのトトロ,468804,
19,9.2,熔炉,???,305212,
22,9.1,触不可及,Intouchables,411588,
23,9,无间道,og道,453312,
25,9.1,天堂电影院,Nuovo Cinema Paradiso,335684,
27,9.4,十二怒汉,12 Angry Men,189223,
30,9.2,鬼子来了,Devils on the Doorstep,257388,
34,9,天空之城,天空の城ラピュタ,366674,
35,8.9,罗马假日,Roman Holiday,422809,
39,9.1,窃听风暴,Das Leben der Anderen,247165,
42,9.6,控方证人,Witness for the Prosecution,109160,
44,8.9,哈尔的移动城堡,ハウルの婴城,389448,
45,9.3,海豚湾,The Cove,194793,
47,9.1,辩护人,???,234289,
53,8.8,情书,Love Letter,408262,
54,9.1,饮食男女,食男女,220935,
60,8.7,七宗罪,Se7en,465845,
61,9.1,素媛,??,203010,
62,8.9,被嫌弃的松子的一生,嫌われ松子の一生,317180,
63,9.2,小鞋子,?????? ?????,151961,
67,8.7,剪刀手爱德华,Edward Scissorhands,520029,
71,8.7,西西里的美丽传说,Malèna,381572,
74,8.7,沉默的羔羊,The Silence of the Lambs,380683,
75,8.8,入殓师,おくりびと,336491,
78,8.9,玛丽和马克思,Mary and Max,243465,
79,8.8,春光乍泄,春光乍,267521,
80,9.2,大闹天宫,大闹天宫 上下集  The Monkey King,110416,
82,8.8,阳光灿烂的日子,In the Heat of the Sun,290419,
83,8.8,幽灵公主,もののけ,252350,
84,8.8,第六感,The Sixth Sense,250776,
85,8.9,末代皇帝,The Last Emperor,186281,
86,8.7,重庆森林,重c森林,355743,
87,8.7,禁闭岛,Shutter Island,386383,
88,8.7,大鱼,Big Fish,269700,
90,9,狩猎,Jagten,140984,
92,8.7,射雕英雄传之东成西就,射m英雄髦|成西就,294554,
94,8.8,甜蜜蜜,Comrades: Almost a Love Story,246531,
96,8.9,一一,Yi yi  Yi yi: A One and a Two,165757,
97,8.8,阳光姐妹淘,??,287187,
98,8.7,告白,自白  母亲,365011,
101,8.9,上帝之城,Cidade de Deus,165884,
102,9.2,摩登时代,Modern Times,96645,
104,8.6,阿凡达,Avatar,560928,
105,8.7,爱在黎明破晓前,Before Sunrise,235788,
107,8.8,风之谷,Lの谷のナウシカ,187246,
108,8.7,爱在日落黄昏时,Before Sunset,210799,
109,8.8,侧耳倾听,耳をすませば,180217,
110,8.6,倩女幽魂,倩女幽魂(87版)  A Chinese Ghost Story,272147,
111,8.8,超脱,Detachment,183924,
112,8.9,红辣椒,パプリカ,144743,
113,8.7,恐怖直播,? ?? ???,238898,
114,8.7,萤火虫之墓,火垂るの墓,215258,
116,8.6,幸福终点站,The Terminal,237306,
117,8.7,菊次郎的夏天,菊次郎の夏,193677,
118,8.6,岁月神偷,q月神偷,321417,
119,8.9,小森林 夏秋篇,リトル?フォレスト 夏?秋,141616,
121,8.7,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,230109,
123,9.2,七武士,七人の侍,81466,
124,8.7,杀人回忆,??? ??,220826,
125,9,海洋,Océans,102234,
127,8.7,电锯惊魂,Saw,209187,
130,8.8,喜宴,盅,148195,
133,8.6,东邪西毒,|邪西毒,264464,
137,8.7,英雄本色,A Better Tomorrow  Gangland Boss,177488,
138,8.7,燃情岁月,Legends of the Fall,153878,
140,8.9,虎口脱险,La grande vadrouille,111685,
143,8.7,7号房的礼物,7??? ??,186999,
146,8.7,萤火之森,w火の杜へ,167379,
147,8.9,小森林 冬春篇,リトル?フォレスト 冬?春,123408,
150,8.5,猜火车,Trainspotting,257919,
152,8.7,纵横四海,h横四海,154830,
153,8.6,穿越时空的少女,rをかける少女,193419,
154,8.8,荒蛮故事,Relatos salvajes,149590,
156,8.8,二十二,Twenty Two  22,103423,
157,9,雨中曲,Singin' in the Rain,96813,
158,8.5,花样年华,花幽耆A,258866,
160,8.6,超能陆战队,Big Hero 6,389324,
161,8.6,时空恋旅人,About Time,212318,
162,8.8,我是山姆,I Am Sam,109318,
165,8.7,浪潮,Die Welle,138122,
167,8.6,心迷宫,殡棺  The Coffin in the Mountain,175028,
168,8.4,香水,Perfume: The Story of a Murderer,287392,
170,8.7,罗生门,_生T,130704,
171,8.9,追随,Following,85145,
172,8.7,一次别离,????? ???? ?? ?????,137588,
175,8.8,未麻的部屋,Perfect Blue,103107,
176,8.7,可可西里,Kekexili: Mountain Patrol,134332,
177,8.5,战争之王,Lord of War,181037,
178,8.8,地球上的星星,Taare Zameen Par,89043,
181,8.7,梦之安魂曲,Requiem for a Dream,115779,
185,8.5,阿飞正传,阿w正,190463,
186,8.7,牯岭街少年杀人事件,牯X街少年⑷耸录,111286,
189,8.5,魔女宅急便,魔女の宅急便,202853,
190,8.7,碧海蓝天,Le grand bleu,110115,
191,8.9,惊魂记,Psycho,86548,
192,9,忠犬八公物语,ハチ公物Z,62684,
194,8.5,再次出发之纽约遇见你,Begin Again,177399,
196,8.4,青蛇,Green Snake,229737,
197,8.3,秒速5厘米,秒速5センチメ`トル,309854,
198,8.9,哪吒闹海,Prince Nezha's Triumph Against Dragon King  Nezha nao hai,83778,
199,8.6,海盗电台,The Boat That Rocked,169044,
200,9.2,东京物语,|京物Z,52682,
201,8.7,末路狂花,Thelma & Louise,108461,
202,8.7,绿里奇迹,The Green Mile,110193,
203,8.6,终结者2：审判日,Terminator 2: Judgment Day,145873,
205,8.5,勇闯夺命岛,The Rock,146142,
207,8.5,新龙门客栈,新T客,190412,
208,8.5,这个男人来自地球,The Man from Earth,188005,
211,9.2,城市之光,City Lights,45878,
213,8.7,一个叫欧维的男人决定去死,En man som heter Ove,123644,
214,8.6,荒野生存,Into the Wild,131278,
215,9.1,迁徙的鸟,Le peuple migrateur,52835,
216,8.5,E.T. 外星人,E.T.: The Extra-Terrestrial,157948,
217,8.4,无耻混蛋,Inglourious Basterds,229885,
218,8.4,发条橙,A Clockwork Orange,190957,
219,8.3,初恋这件小事,???????????????????????...???,476236,
220,8.4,美国丽人,American Beauty,190792,
221,9.1,黄金三镖客,"Il buono, il brutto, il cattivo.",52916,
222,8.4,你的名字。,君の名は。,487539,
224,8.6,燕尾蝶,スワロウテイル,109824,
225,8.8,爱在午夜降临前,Before Midnight,120318,
226,9,无人知晓,lも知らない,58582,
227,8.6,非常嫌疑犯,The Usual Suspects,119696,
228,8.6,叫我第一名,Front of the Class,111562,
230,8.9,勇士,Warrior,89658,
233,8.6,无敌破坏王,Wreck-It Ralph,189442,
235,8.6,上帝也疯狂,The Gods Must Be Crazy,98499,
237,8.8,步履不停,iいても iいても,75776,
239,8.6,枪火,j火,102441,
240,8.3,蓝色大门,{色大T,277432,
241,8.6,大卫・戈尔的一生,The Life of David Gale,95998,
242,8.5,遗愿清单,The Bucket List,132626,
243,9,我爱你,??? ?????,59215,
245,9,爱・回家,???...,48465,
246,8.5,荒岛余生,Cast Away,138025,
248,8.5,麦兜故事,兜故事,130822,
249,8.4,暖暖内含光,Eternal Sunshine of the Spotless Mind,147796,
250,8.5,月球,Moon,147512,
